ID,Nama Bahan,Air,Energi,Protein,Lemak,Abu,Karbohidrat,Serat Total,Gula Total,Kalsium (Ca),Besi (Fe),Magnesium (Mg),Fosfor (P),Kalium (K),Natrium (Na),Seng (Zn),Tembaga (Cu),Mangan (Mn),Selenium (Se),Vitamin C,Tiamina (B1),Riboflavin (B2),Niasin,Pantotenat (B5),Vitamin B6,Folat Total (B9),Kolina,Vitamin B12,Vitamin A IU,Vitamin A RAE,Retinol,a-karoten,b-karoten,b-kriptosantin,Likopen,Zeaksantin + Lutein,Vitamin E,Vitamin D,Vitamin D IU,Vitamin K,Lemak Jenuh,Lemak Tunggal,Lemak Ganda,Kolesterol
4327,"Minuman, Punch Tropis, siap minum","97,49",10,-,-,"0,01","2,50",-,"2,50",-,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4328,"Minuman anggur, dalam kaleng","84,20",61,-,-,"0,08","15,72",-,"13,06",52,"0,07",1,-,12,16,"0,12","0,013","0,027","0,1","31,4","0,001","0,004","0,010","0,003","0,002",-,"0,3",-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-
4329,"Minuman, teh, hijau, diseduh, teratur","99,93",1,"0,22",-,-,-,-,-,-,"0,02",1,-,8,1,"0,01","0,004","0,184",-,"0,3","0,007","0,058","0,030",-,"0,005",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4330,"Minuman, teh, hitam, siap minum, persik, diet","99,68",1,-,-,"0,07","0,25",-,-,1,-,1,1,12,5,-,"0,005","0,161",-,"5,2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4331,"Minuman, teh, hitam, siap minum, tanpa kafein, diet","99,14",-,-,-,"0,03","0,83",-,-,11,-,2,4,27,4,"0,01","0,008",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4332,"Minuman, teh, hitam, siap minum, tanpa kafein","91,22",38,-,-,"0,03","8,75",-,"7,92",11,-,2,4,27,8,"0,01","0,008",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4333,"Minuman jus anggur, dalam kaleng","85,30",57,-,-,"0,12","14,55","0,1","14,11",7,"0,13",6,6,33,9,"0,03","0,022","0,200","0,1","26,5","0,225","0,354","0,142","0,023","0,035",1,"0,3",-,4,-,-,-,3,-,-,19,-,-,-,"0,2",-,-,-,-
4334,"Minuman, koktail jus Cranberry","87,39",52,-,"0,34","0,03","12,25",-,"11,41",3,"0,04",1,1,19,2,"0,02","0,015","0,060",-,"33,5",-,-,"0,025","0,048",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4335,"Minuman, Ocean Spray, Cranberry Ruby Red","88,26",45,"0,07","0,01","0,10","11,58","0,6","11,02",5,"0,04",2,4,39,11,"0,02","0,009","0,006",-,"27,1",-,-,"0,026",-,-,4,-,-,483,24,-,-,290,-,-,-,-,-,-,"0,1","0,003","0,003","0,004",-
4336,"Minuman, Motts, Jus Apel Ringan, Diperkaya dengan Vitamin C","94,80",22,-,"0,10",-,"5,10",-,"4,80",3,"0,20",-,-,51,13,-,-,-,-,"24,0",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4337,"Minuman, Limun, bubuk","1,43",376,-,"1,05","0,47","97,57","0,4","94,70",20,"0,19",247,4,147,51,"0,10","0,045","0,016","0,6","39,9","0,015",-,"0,130","0,060","0,026",6,"0,1",-,-,-,-,-,-,-,-,-,"0,14",-,-,-,"0,151","0,111","0,457",-
4338,"Limun, bubuk, disiapkan dengan air","96,26",14,-,"0,04","0,11","3,59",-,"3,50",4,"0,01",10,-,6,6,"0,01","0,011","0,001",-,"1,5","0,001",-,"0,005","0,002","0,001",-,-,-,-,-,-,-,-,-,-,-,"0,01",-,-,-,-,-,-,-
4339,"Minuman, Snapple, Teh, Hitam dan Hijau, Siap Minum, Persik, Diet","99,80",2,"0,10",-,-,"0,10",-,-,-,-,-,-,19,3,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4340,"Limun, konsentrat beku, putih","49,06",196,"0,22","0,70","0,13","49,89","0,3","44,46",7,"0,09",7,7,72,7,"0,04","0,013","0,013","0,4","13,1","0,020",-,"0,110","0,115","0,020",7,2,-,-,-,-,-,-,-,-,4,"0,09",-,-,"0,2","0,025","0,008","0,059",-
4341,"Limun, konsentrat beku, putih, disiapkan dengan air","89,35",40,"0,07","0,04","0,12","10,42",-,"9,98",4,"0,16",2,2,15,4,"0,02","0,021","0,005","0,1","3,9","0,006","0,021","0,016","0,013","0,006",1,"0,4",-,1,-,-,-,-,1,-,1,"0,01",-,-,-,"0,006","0,002","0,013",-
4342,"Minuman, Snapple, Teh, Hitam dan Hijau, Siap Minum, Lemon, Diet","99,80",2,"0,10",-,-,"0,10",-,-,-,-,-,-,20,3,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4343,"Minuman rasa limun, bubuk","0,52",380,-,"1,01","0,57","97,90",-,"97,15",11,"0,17",165,99,39,130,"0,03","0,025","0,011","0,3","40,6","0,002","0,011",-,-,-,-,"0,1",-,-,-,-,-,-,-,-,-,"0,08",-,-,"1,9","0,183","0,129","0,531",-
4344,"Minuman rasa limun, bubuk, disiapkan dengan air","92,87",27,-,"0,07","0,13","6,90",-,"6,87",4,"0,01",13,7,3,13,"0,01","0,011","0,001",-,"2,9",-,"0,001",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4345,"Jeruk nipis, konsentrat beku, disiapkan dengan air","86,08",52,-,-,"0,13","13,79",-,"13,27",2,-,2,1,10,3,"0,01","0,016","0,001","0,1","3,1","0,002","0,003","0,009","0,012","0,004",1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4346,"Minuman malt, termasuk bir non-alkohol","91,15",37,"0,21","0,12","0,12","8,05",-,"8,05",7,"0,06",7,16,8,13,"0,02","0,008","0,013","1,2","0,5","0,016","0,048","1,113","0,037","0,027",14,10,"0,02",2,-,-,-,-,-,-,-,-,-,-,-,"0,024","0,015","0,056",-
4347,"Minuman, Ovaltine, Serbuk Malt Klasik","1,43",372,-,-,"5,24","93,33",-,"63,64",909,"16,36",218,-,-,636,"13,64","1,818",-,-,"54,5","1,364",-,"18,182",-,"1,818",-,-,-,4.545,1.365,1.365,-,-,-,-,-,"12,27","9,1",364,-,-,-,-,-
4348,"Minuman, campuran minuman Malt, alami, dengan tambahan nutrisi, bubuk, disiapkan dengan susu murni","81,49",86,"3,67","3,21","0,97","10,67",-,"8,37",123,"1,36",15,107,200,72,"0,41","0,044","0,037","4,2","10,4","0,277","0,455","3,993","0,353","0,325",6,-,"0,40",942,281,280,-,5,-,-,-,-,-,-,"0,4","1,830","0,802","0,213","11,00"
4349,"Minuman, campuran minuman Malt, alami, bubuk, berbahan dasar susu.","2,00",428,"14,29","9,52","2,98","71,21","0,1","47,62",298,"0,70",93,358,758,405,"0,99","0,200","0,237","16,4","2,9","0,505","0,920","5,246","0,624","0,410",46,59,"0,80",224,63,62,-,11,-,-,7,"0,36",-,-,"5,4","4,762","2,157","1,429","24,00"
4350,"Minuman, campuran minuman Malt, alami, bubuk, disiapkan dengan susu murni","81,40",88,"3,86","3,62","0,89","10,23","0,1","9,56",117,"0,09",17,106,183,79,"0,43","0,037","0,021","5,2","0,2","0,081","0,242","0,519","0,402","0,066",8,-,"0,46",117,33,32,-,6,-,-,-,-,-,-,"0,5","2,039","0,903","0,276","12,00"
4351,"Minuman, Ovaltine, Bubuk Cokelat Malt","1,28",372,-,-,"5,76","92,96",-,"72,73",909,"16,36",218,-,-,636,"13,64","1,818",-,-,"54,5","1,364",-,"18,182",-,"1,818",-,-,-,4.545,1.365,1.365,-,-,-,-,-,"12,27","9,1",364,-,-,-,-,-
4352,"Minuman, campuran minuman Malt, cokelat, dengan nutrisi tambahan, bubuk, disiapkan dengan susu murni","81,26",87,"3,29","3,26","0,99","11,19","0,4","10,49",139,"1,42",17,109,217,87,"0,43","0,074","0,054","3,6","12,0","0,287","0,484","4,164","0,398","0,383",5,14,"0,42",1.199,357,357,-,6,-,-,1,"0,07","3,1",123,"0,3","1,873","0,823","0,205","10,00"
4353,"Campuran minuman malt, coklat, bubuk","1,30",411,"5,10","4,76","1,90","86,94","4,8","66,67",60,"2,28",70,175,618,190,"0,80","0,200",-,"6,9","1,5","0,173","0,200","2,003","0,316","0,156",37,27,"0,42",117,33,32,-,5,-,-,2,"0,17",-,-,"2,5","2,381","1,167","0,669","1,00"
4354,"Minuman, campuran minuman Malt, cokelat, bubuk, disiapkan dengan susu murni","81,34",85,"3,37","3,29","0,79","11,20","0,5","6,68",98,"0,21",15,91,172,60,"0,41","0,037","0,080","5,4","0,1","0,054","0,184","0,259","0,354","0,046",9,-,"0,42",95,26,26,-,5,-,-,1,"0,06",-,-,"0,3","1,883","0,827","0,208","10,00"
4355,"Minuman jeruk, kalengan, dengan tambahan vitamin C","87,47",49,-,"0,07","0,11","12,34",-,"11,03",5,"0,04",2,1,18,3,"0,02",-,"0,011",-,"57,3",-,-,"0,011","0,018",-,2,1,-,8,-,-,-,1,7,-,9,"0,02",-,-,-,"0,002","0,002","0,003",-
4356,"Minuman jus jeruk dan aprikot, kalengan","86,70",51,"0,30","0,10","0,20","12,70","0,1","12,06",5,"0,10",5,8,80,2,"0,04","0,032","0,009","0,1","20,0","0,020","0,010","0,200","0,068","0,037",7,1,-,183,9,-,2,79,60,-,47,"0,11",-,-,"0,1","0,010","0,031","0,022",-
4357,"Minuman jus nanas dan grapefruit, dalam kaleng","87,90",47,"0,20","0,10","0,20","11,60","0,1","11,52",7,"0,31",6,6,61,14,"0,06","0,045","0,413","0,1","46,0","0,030","0,016","0,267","0,053","0,042",9,1,-,2,-,-,-,1,-,-,1,"0,01",-,-,"0,1","0,006","0,010","0,028",-
4358,"Minuman jus nanas dan jeruk, kalengan","86,90",50,"1,30",-,"0,10","11,80","0,1","11,59",5,"0,27",6,4,46,3,"0,06","0,041","0,361","0,1","22,5","0,030","0,019","0,207","0,057","0,047",9,1,-,19,1,-,-,4,15,-,12,"0,03",-,-,"0,1",-,-,-,-
4359,"Kocok, Makanan cepat saji, vanila","69,65",148,"3,37","6,52","0,86","19,59","0,9","13,63",115,"0,46",13,98,166,81,"0,57","0,103","0,035","3,2",-,"0,026","0,660","0,213","0,562","0,060",-,27,"0,22",304,91,91,-,-,-,-,-,"0,25",-,-,"0,4","3,962","1,785","0,316","23,00"
4360,"Campuran minuman rasa strawberry, bubuk","0,40",389,"0,10","0,20","0,20","99,10",-,"95,45",4,"0,44",1,5,6,38,-,-,-,"0,5","0,3","0,003","0,110","0,073","0,001","0,002",-,"0,1",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4361,"Campuran minuman rasa stroberi, bubuk, disajikan dengan susu murni","80,90",88,"3,00","3,10","0,70","12,30",-,-,110,"0,08",12,86,139,48,"0,35","0,009","0,002","1,8","0,9","0,035","0,158","0,083","0,288","0,039",5,-,"0,33",116,26,26,-,-,-,-,-,-,-,-,-,"1,910","0,886","0,114","12,00"
4362,"Minuman, teh, hitam, diseduh, disiapkan dengan air ledeng, tanpa kafein","99,70",1,-,-,"0,04","0,30",-,-,-,"0,02",3,1,37,3,"0,02","0,010","0,219",-,-,-,"0,014",-,"0,011",-,5,"0,4",-,-,-,-,-,-,-,-,-,-,-,-,-,"0,002","0,001","0,004",-
4363,"Minuman, teh, instan, tanpa kafein, tanpa pemanis","5,09",315,"20,21",-,"16,04","58,66","8,5","5,53",118,"2,26",272,239,6.04,72,"1,69","0,550","133,000","5,3",-,-,"0,985","10,800","4,530","0,356",103,118,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4364,"Minuman, teh, hitam, diseduh, disiapkan dengan air ledeng","99,70",1,-,-,"0,04","0,30",-,-,-,"0,02",3,1,37,3,"0,02","0,010","0,219",-,-,-,"0,014",-,"0,011",-,5,"0,4",-,-,-,-,-,-,-,-,-,-,-,-,-,"0,002","0,001","0,004",-
4365,"Minuman, teh, instan, tanpa kafein, lemon, diet","3,50",338,"3,30","0,60","7,20","85,40",-,"1,88",21,"8,87",125,140,2.568,412,"0,89","0,120","30,370","1,8",-,-,"0,335","3,880","1,540","0,121",35,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4366,"Minuman, teh, instan, tanpa kafein, lemon, dimaniskan","0,13",401,"0,12","0,73","0,47","98,55",-,"95,29",2,"0,21",3,2,169,5,"0,03","0,010","2,965","0,6",-,"0,011",-,"0,125","0,110","0,015",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,091","0,027","0,209",-
4367,"Minuman, teh, instan, tanpa pemanis, bubuk","5,09",315,"20,21",-,"16,04","58,66","8,5","5,53",118,"2,26",272,239,6.04,72,"1,69","0,550","133,000","5,3",-,-,"0,985","10,800","4,530","0,356",103,118,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4368,"Minuman, teh, instan, tanpa pemanis, disiapkan dengan air","99,62",1,"0,06",-,"0,15","0,17",-,"0,02",3,"0,01",2,1,18,4,"0,01","0,011","0,392",-,-,-,"0,003","0,032","0,013","0,001",-,"0,3",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4369,"Minuman, teh, instan, lemon, tanpa pemanis","4,30",345,"7,40","0,18","9,60","78,52","5,0","4,52",28,"0,75",139,107,3.453,55,"0,98","0,331","30,670","3,0",-,"0,017","0,558","6,168","2,597","0,223",61,66,-,-,-,-,-,-,-,-,-,"0,09",-,-,-,"0,047","0,012","0,117",-
4370,"Minuman, teh, instan, lemon, dimaniskan, bubuk","0,13",401,"0,12","0,73","0,47","98,55","0,7","95,29",2,"0,21",3,2,169,5,"0,03","0,010","1,410","0,6",-,"0,011",-,"0,125",-,"0,015",1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,097","0,033","0,218",-
4371,"Minuman, teh, instan, lemon, dimaniskan, disiapkan dengan air","91,18",35,"0,01","0,06","0,13","8,61","0,1","8,33",2,"0,02",1,-,15,2,"0,01","0,007","0,124","0,1",-,"0,001",-,"0,011",-,"0,001",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,008","0,002","0,018",-
4372,"Minuman, teh, instan, dimaniskan dengan natrium sakarin, rasa lemon, bubuk","3,50",338,"3,30","0,60","7,20","85,40",-,"1,88",21,"8,87",125,140,2.568,412,"0,89","0,120","30,370","1,8",-,-,"0,335","3,880","1,540","0,121",35,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4373,"Minuman, teh, instan, lemon, diet","99,41",2,"0,02",-,"0,14","0,44",-,"0,01",3,"0,05",2,1,14,6,"0,01","0,010","0,155",-,-,-,"0,002","0,020","0,008","0,001",-,"0,2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4374,"Chamomile, teh, ramuan, campuran, diseduh","99,70",1,-,-,-,"0,20",-,-,2,"0,08",1,-,9,1,"0,04","0,015","0,044",-,-,"0,010","0,004",-,"0,011",-,1,"0,4",-,-,-,-,-,-,-,-,-,-,-,-,-,"0,002","0,001","0,005",-
4375,"Air, Botol, Perrier","99,90",-,-,-,"0,10",-,-,-,14,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4376,"Air, Botol, Polandia Spring","100,00",-,-,-,-,-,-,-,1,"0,01",1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4377,"Campuran kakao, dengan aspartam, bubuk, disiapkan dengan air","92,38",29,"1,21","0,23","0,57","5,61","0,6","2,93",48,"0,39",17,70,211,72,"0,27","0,066","0,052","1,3",-,"0,021","0,109","0,085","0,298","0,025",1,-,"0,09",1,-,-,-,-,-,-,1,-,-,-,"0,1","0,139","0,076","0,007",-
4378,"Minuman berkarbonasi, cola, mengandung kafein, cola makanan cepat saji","90,31",37,"0,07","0,02","0,04","9,56",-,"8,97",2,"0,11",-,10,2,4,"0,02","0,001","0,002","0,1",-,-,-,-,-,-,-,"0,3",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4379,"Minuman jus buah, konsentrat beku","55,50",175,"0,30","0,70","0,50","43,10","0,2",-,20,"0,80",11,12,270,10,"0,70","0,070","0,210",-,"19,7","0,004","0,230","0,208","0,103","0,045",7,-,-,21,1,-,-,-,-,-,-,-,-,-,-,"0,087","0,086","0,173",-
4380,"Minuman jus buah, konsentrat beku, disiapkan dengan air","88,16",42,"0,07","0,17","0,20","11,40",-,"11,40",7,"0,20",3,3,66,5,"0,17","0,024","0,051",-,"4,8","0,001","0,056","0,050","0,025","0,011",2,-,-,5,-,-,-,-,-,-,-,-,-,-,-,"0,021","0,021","0,042",-
4381,"Minuman rasa jeruk, tipe sarapan, bubuk","0,14",386,-,-,"0,92","98,94","0,4","92,31",385,"0,02",-,151,190,17,"0,01","0,013","0,050","0,5","230,8","0,001","0,680","8,000","0,007","0,800",-,"0,1",-,2,599,599,-,-,1,-,1,-,-,-,-,-,-,-,-
4382,"Minuman rasa jeruk, tipe sarapan, bubuk, disiapkan dengan air","87,15",49,-,-,"0,20","12,65","0,1","11,80",52,-,1,19,25,5,"0,01","0,010","0,007","0,1","29,5",-,"0,087","1,023","0,001","0,102",-,-,-,256,77,77,-,-,-,-,-,-,-,-,-,-,-,-,-
4383,"Minuman rasa jeruk, tipe sarapan, rendah kalori, bubuk","1,80",217,"3,60",-,"8,70","85,90","3,8","2,60",1.378,"0,07",275,629,3.132,81,-,"0,003",-,-,"2.400,0",-,"6,800","80,000",-,"8,000",-,-,-,20,6.006,6.006,-,-,-,-,-,-,-,-,-,-,-,-,-
4384,"Air, keran, minum","99,90",-,-,-,"0,10",-,-,-,3,-,1,-,-,4,"0,01","0,010",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4385,"Air, keran, baik","99,90",-,-,-,"0,10",-,-,-,3,-,1,-,-,5,"0,01","0,016",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4386,"Minuman beralkohol, minuman keras, kopi, 53 proof","31,00",336,"0,10","0,30","0,10","46,80",-,"38,30",1,"0,06",3,6,30,8,"0,03","0,040","0,014","0,4",-,"0,004","0,012","0,144",-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,106","0,022","0,105",-
4387,"Minuman beralkohol, minuman keras, kopi dengan krim, 34 bukti","46,50",327,"2,80","15,70","0,40","20,90",-,"19,76",16,"0,13",2,50,32,92,"0,16","0,040","0,006","0,4","0,2","0,011","0,057","0,078","0,087","0,011",2,8,"0,08",620,173,171,-,30,-,-,-,"0,45",-,-,"1,3","9,664","4,458","0,669","58,00"
4388,"Minuman berkarbonasi, rendah kalori, cola atau lada, dengan aspartam, mengandung kafein","99,54",2,"0,11","0,03","0,03","0,29",-,-,3,"0,11",1,9,8,8,"0,01","0,002","0,107",-,-,"0,005","0,023",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4389,"Minuman, pengganti kopi, minuman sereal, bubuk, disiapkan dengan susu murni","87,00",65,"3,30","3,30","0,80","5,60","0,1",-,119,"0,11",16,99,172,49,"0,38","0,012","0,016","5,5","0,9","0,038","0,161","0,293","0,310","0,042",5,-,"0,35",124,28,28,-,-,-,-,-,-,-,-,-,"2,061","0,958","0,144","13,00"
4390,"Minuman, campuran minuman susu, cokelat, kalori rendah, dengan pemanis rendah kalori, bubuk","12,80",329,"25,00","2,60","8,20","51,40","9,4","32,94",1.412,"7,70",210,893,2.24,659,"3,60","0,800","0,730","21,5","5,6","0,112","1,938","1,250","2,139","0,110",33,128,"2,03",698,209,209,-,1,-,-,12,"0,04","4,7",188,"0,8","1,871","0,496","0,061","24,00"
4391,"Campuran minuman susu, cokelat, pengurangan kalori, dengan aspartam, bubuk, disiapkan dengan air dan es","92,26",29,"2,19","0,23","0,81","4,51","0,8","2,89",127,"0,68",19,78,197,61,"0,32","0,079","0,064","1,9","0,5","0,010","0,170","0,110","0,188","0,010",3,-,"0,18",61,18,18,-,-,-,-,1,-,-,-,"0,1","0,164","0,043","0,005","2,00"
4392,"Minuman rasa jeruk, tipe sarapan, dengan bubur kertas, konsentrat beku","55,20",172,"0,10","0,50","1,30","42,90","0,2","11,70",130,"0,26",2,76,435,24,"0,06","0,039","0,028","0,3","243,1","0,422","0,133",-,"0,025",-,30,-,-,-,-,-,-,-,-,-,-,"0,30",-,-,"0,2","0,078","0,226","0,197",-
4393,"Minuman rasa jeruk, tipe sarapan, dengan bubur kertas, konsentrat beku, disiapkan dengan air","87,18",49,"0,03","0,14","0,44","12,21",-,"11,91",39,"0,08",1,22,124,10,"0,02","0,018","0,008","0,1","69,2","0,120","0,038",-,"0,007",-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,022","0,064","0,056",-
4394,"Minuman jeruk, tipe sarapan, dengan jus dan pulp, konsentrat beku","59,20",153,"0,40",-,"1,40","39,00","0,1","38,05",399,"0,26",34,115,465,26,"0,12","0,320","0,048",-,"189,7","0,363","3,590","0,870","0,650","0,244",-,2,-,21,1,-,-,11,-,-,-,"0,09",-,-,"0,1","0,002","0,003","0,004",-
4395,"Minuman jeruk, tipe sarapan, dengan jus dan pulp, konsentrat beku, disiapkan dengan air","88,08",45,"0,12",-,"0,48","11,32",-,"11,05",118,"0,08",11,33,167,10,"0,04","0,100","0,014",-,"55,1","0,105","1,042","0,253","0,189","0,071",-,-,-,6,-,-,-,3,-,-,-,"0,02",-,-,-,"0,001","0,001","0,001",-
4396,"Kocok, Makanan cepat saji, stroberi","74,10",113,"3,40","2,80","0,90","18,90","0,4",-,113,"0,11",13,100,182,83,"0,36","0,022","0,015","2,1","0,8","0,045","0,195","0,175","0,492","0,044",3,-,"0,31",120,26,26,-,-,-,-,-,-,-,-,-,"1,734",-,-,"11,00"
4397,"Air, keran, kota","99,90",-,-,-,"0,10",-,-,-,3,-,1,-,1,3,-,"0,009",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4398,"Koktail jus cranberry, konsentrat beku","48,40",201,"0,05",-,"0,10","51,45","0,2","42,50",11,"0,30",5,5,49,4,"0,07","0,020","0,140",-,"45,8","0,023","0,032","0,040","0,487","0,049",-,-,-,34,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4399,"Koktail jus cranberry, konsentrat beku, disiapkan dengan air","88,08",47,"0,01",-,"0,10","11,81",-,"9,76",5,"0,07",2,1,12,4,"0,02","0,012","0,032",-,"10,5","0,005","0,007","0,009","0,112","0,011",-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4400,"Air, Botol, Non-Karbonasi, Dannon","99,98",-,-,-,-,-,-,-,3,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4401,"Air, Botol, Non-Karbonasi, Pepsi, Aquafina","99,97",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4402,"Minuman, Perusahaan Coca-Cola, Dasani, Air, Botolan, Non-Karbonasi","99,96",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4403,"Minuman sarapan oranye, siap minum, dengan nutrisi tambahan","85,40",53,-,-,"1,40","13,20","0,1","8,02",100,"0,05",5,7,83,54,"0,05","0,027","0,013",-,"24,0","0,120","0,010","0,090","0,051","0,020",5,1,-,417,21,-,-,219,62,-,8,"0,04",-,-,-,-,-,-,-
4404,"Air, Botol, Non-Karbonasi, Calistoga","100,00",-,-,-,"0,10",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4405,"Air, Botol, Tidak Berkarbonasi, Crystal Geyser","100,00",-,-,-,"0,10",-,-,-,3,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4406,"Air, Botol, Non-Karbonasi, Naya","100,00",-,-,-,"0,10",-,-,-,4,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4407,"Air, Botol, Non-Karbonasi, Dannon Fluoride To Go","99,97",-,-,-,-,"0,03",-,-,3,"0,01",1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4408,"Campuran Minuman, Oats Quaker, Gatorade, Rasa Jeruk, Bubuk","2,51",388,-,"1,23","2,15","94,11",-,"80,50",40,"0,34",1,120,30,63,"0,06","0,250","0,050",-,"0,4","0,011","0,802","0,220","0,055","0,022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4409,"Minuman, Pepsico Quaker, Gatorade, G Performance O2, Siap Minum.","93,38",26,-,-,"0,14","6,43",-,"5,24",1,"0,05",-,10,15,39,"0,01","0,006","0,013",-,"0,4","0,011",-,"0,220","0,055","0,022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,2",-,-,-,-
4410,"Minuman, Coca-Cola, Powerade, Rasa Jeruk Nipis, Siap Minum","91,91",32,-,"0,05","0,20","7,84",-,"6,11",1,"0,09",-,1,18,42,"0,01",-,-,-,-,"0,011",-,"1,565",-,"0,153",-,-,"0,91",-,-,-,-,-,-,-,-,-,-,-,-,"0,008","0,011","0,028",-
4411,"Minuman, Propel Zero, rasa buah, tidak berkarbonasi","98,78",5,-,-,"0,08","1,14",-,-,1,"0,03",-,25,16,33,-,-,-,-,"8,8",-,-,"4,095","1,570","0,556",-,-,-,-,-,-,-,-,-,-,-,"1,67",-,-,-,-,-,-,-
4412,"Minuman, Arizona, Teh, Siap Minum, Lemon","90,15",39,-,-,"0,07","9,77",-,"9,63",3,-,1,1,10,4,"0,01","0,005","0,160",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4413,"Minuman, Lipton Brisk, Teh, Hitam, Siap Minum, Lemon","91,06",35,-,-,"0,12","8,81",-,"8,69",1,-,-,26,19,21,"0,01","0,005","0,146",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4414,"Campuran asam wiski, botol, dengan tambahan kalium dan natrium","78,20",84,"0,10","0,10","0,20","21,40",-,-,2,"0,11",1,6,7,33,"0,07",-,-,"0,1","2,7","0,013","0,010",-,"0,013",-,-,-,-,21,1,-,-,-,-,-,-,-,-,-,-,"0,008","0,002","0,020",-
4415,"Minuman beralkohol, wiski asam","72,60",149,-,"0,03","0,10","13,17",-,-,1,"0,08",1,6,5,20,"0,06","0,009","0,006","0,1","1,6","0,011","0,006","0,020","0,008",-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,"0,005","0,001","0,012",-
